tree_dbh,spc_latin,latitude,longitude
35,Platanus x acerifolia,40.5996506,-73.97041595
17,Platanus x acerifolia,40.67753847,-73.97345353
4,Pyrus calleryana,40.51913386,-74.19622154
9,Pyrus calleryana,40.64595763,-74.02221281
19,Platanus x acerifolia,40.74792602,-73.85369794
8,Quercus palustris,40.71245608,-73.8813262
10,Pyrus calleryana,40.70236827,-73.81909645
15,Quercus palustris,40.59502155,-73.93417183
27,Platanus x acerifolia,40.79465005,-73.82347176
23,Platanus x acerifolia,40.64454096,-73.89909366
17,Pyrus calleryana,40.66573366,-73.99154243
14,Quercus palustris,40.69351153,-73.92254623
16,Quercus palustris,40.81576847,-73.88675868
24,Platanus x acerifolia,40.745084,-73.79360129
6,Pyrus calleryana,40.70715411,-73.90553901
4,Pyrus calleryana,40.52506873,-74.23551709
21,Acer platanoides,40.63466402,-73.88903227
10,Pyrus calleryana,40.53946982,-74.17302338
5,Acer platanoides,40.71992548,-73.82364603
4,Quercus palustris,40.8187006,-73.91268263
11,Pyrus calleryana,40.76612491,-73.79665474
14,Quercus palustris,40.74172885,-73.91699437
10,Platanus x acerifolia,40.80151491,-73.95025565
25,Platanus x acerifolia,40.6131553,-73.9461955
6,Pyrus calleryana,40.79196896,-73.96764853
25,Platanus x acerifolia,40.56735982,-74.11590561
10,Acer platanoides,40.66962284,-73.82009273
16,Platanus x acerifolia,40.78263299,-73.77416114
22,Platanus x acerifolia,40.62674668,-74.01885622
31,Platanus x acerifolia,40.70411291,-73.9592062
28,Platanus x acerifolia,40.62887941,-73.93095682
31,Platanus x acerifolia,40.76940245,-73.89441894
21,Platanus x acerifolia,40.67001102,-73.77463049
17,Platanus x acerifolia,40.53709798,-74.16138011
5,Platanus x acerifolia,40.83176665,-73.92147561
19,Quercus palustris,40.67435749,-73.95205941
8,Pyrus calleryana,40.7945823,-73.81045584
10,Platanus x acerifolia,40.84099433,-73.86866182
18,Quercus palustris,40.50526863,-74.25032768
21,Quercus palustris,40.73419584,-73.84777463
4,Acer platanoides,40.89923035,-73.87077186
40,Quercus palustris,40.64248464,-73.96649588
29,Platanus x acerifolia,40.59221107,-74.07558148
25,Quercus palustris,40.7383635,-73.82479227
13,Acer platanoides,40.72347265,-73.86210962
11,Pyrus calleryana,40.72757912,-74.00717478
32,Quercus palustris,40.76831016,-73.89804736
25,Platanus x acerifolia,40.61313913,-74.15983193
8,Pyrus calleryana,40.50895777,-74.22821259
7,Pyrus calleryana,40.67877362,-74.01801995
23,Platanus x acerifolia,40.85326906,-73.82813454
7,Pyrus calleryana,40.61382486,-73.99951988
34,Platanus x acerifolia,40.63098398,-74.02886851
26,Quercus palustris,40.75756937,-73.7540734
10,Platanus x acerifolia,40.64290385,-74.00053898
29,Platanus x acerifolia,40.64585878,-73.95255941
12,Pyrus calleryana,40.80593053,-73.94478426
